AppendingToAnObjectOutputStream
AtomicityProblem
BadAppletConstructor
BadResultSetAccess
BadSyntaxForRegularExpression
BadUseOfReturnValue
BadlyOverriddenAdapter
BooleanReturnNull
BuildInterproceduralCallGraph
BuildObligationPolicyDatabase
CallToUnsupportedMethod
CalledMethods
CheckCalls
CheckExpectedWarnings
CheckImmutableAnnotation
CheckRelaxingNullnessAnnotation
CheckTypeQualifiers
CloneIdiom
ComparatorIdiom
ConfusedInheritance
ConfusionBetweenInheritedAndOuterMethod
CrossSiteScripting
DefaultEncodingDetector
DoInsideDoPrivileged
DontCatchIllegalMonitorStateException
DontIgnoreResultOfPutIfAbsent
DontUseEnum
DroppedException
DumbMethodInvocations
DumbMethods
DuplicateBranches
EmptyZipFileEntry
EqualsOperandShouldHaveClassCompatibleWithThis
ExplicitSerialization
FieldItemSummary
FinalizerNullsFields
FindBadCast2
FindBadForLoop
FindBugsSummaryStats
FindCircularDependencies
FindDeadLocalStores
FindDoubleCheck
FindEmptySynchronizedBlock
FindFieldSelfAssignment
FindFinalizeInvocations
FindFloatEquality
FindFloatMath
FindHEmismatch
FindInconsistentSync2
FindJSR166LockMonitorenter
FindLocalSelfAssignment2
FindMaskedFields
FindMismatchedWaitOrNotify
FindNakedNotify
FindNonSerializableStoreIntoSession
FindNonSerializableValuePassedToWriteObject
FindNonShortCircuit
FindNullDeref
FindNullDerefsInvolvingNonShortCircuitEvaluation
FindOpenStream
FindPuzzlers
FindRefComparison
FindReturnRef
FindRoughConstants
FindRunInvocations
FindSelfComparison
FindSelfComparison2
FindSleepWithLockHeld
FindSpinLoop
FindSqlInjection
FindTwoLockWait
FindUncalledPrivateMethods
FindUnconditionalWait
FindUninitializedGet
FindUnrelatedTypesInGenericContainer
FindUnreleasedLock
FindUnsatisfiedObligation
FindUnsyncGet
FindUseOfNonSerializableValue
FindUselessControlFlow
FormatStringChecker
FunctionsThatMightBeMistakenForProcedures
HugeSharedStringConstants
IDivResultCastToDouble
IncompatMask
InconsistentAnnotations
InefficientIndexOf
InefficientMemberAccess
InefficientToArray
InfiniteLoop
InfiniteRecursiveLoop
InheritanceUnsafeGetResource
InitializationChain
InitializeNonnullFieldsInConstructor
InstantiateStaticClass
IntCast2LongAsInstant
InvalidJUnitTest
IteratorIdioms
LazyInit
LoadOfKnownNullValue
LostLoggerDueToWeakReference
MethodReturnCheck
Methods
MultithreadedInstanceAccess
MutableLock
MutableStaticFields
Naming
Noise
NoiseNullDeref
NoteAnnotationRetention
NoteCheckReturnValueAnnotations
NoteDirectlyRelevantTypeQualifiers
NoteJCIPAnnotation
NoteNonNullAnnotations
NoteNonnullReturnValues
NoteSuppressedWarnings
NoteUnconditionalParamDerefs
NumberConstructor
OptionalReturnNull
OverridingEqualsNotSymmetrical
PreferZeroLengthArrays
PublicSemaphores
QuestionableBooleanAssignment
ReadOfInstanceFieldInMethodInvokedByConstructorInSuperclass
ReadReturnShouldBeChecked
RedundantInterfaces
ReflectiveClasses
RepeatedConditionals
ResolveAllReferences
RuntimeExceptionCapture
SerializableIdiom
StartInConstructor
StaticCalendarDetector
StringConcatenation
SuperfluousInstanceOf
SuspiciousThreadInterrupted
SwitchFallthrough
SynchronizationOnSharedBuiltinConstant
SynchronizeAndNullCheckField
SynchronizeOnClassLiteralNotGetClass
SynchronizingOnContentsOfFieldToProtectField
TestASM
TestDataflowAnalysis
TestingGround
TestingGround2
TrainFieldStoreTypes
TrainLongInstantfParams
TrainNonNullAnnotations
TrainUnconditionalDerefParams
URLProblems
UncallableMethodOfAnonymousClass
UnnecessaryMath
UnreadFields
UselessSubclassMethod
VarArgsProblems
VolatileUsage
WaitInLoop
WrongMapIterator
XMLFactoryBypass
