Style/AccessModifierIndentation
Style/AlignHash
Style/AlignParameters
Style/AndOr
Style/BarePercentLiterals
Style/BlockDelimiters
Style/BracesAroundHashParameters
Style/CaseIndentation
Style/ClassAndModuleChildren
Style/ClassCheck
Style/CollectionMethods
Style/CommandLiteral
Style/CommentAnnotation
Style/Copyright
Style/DotPosition
Style/EmptyElse
Style/EmptyLineBetweenDefs
Style/EmptyLinesAroundBlockBody
Style/EmptyLinesAroundClassBody
Style/EmptyLinesAroundModuleBody
Style/Encoding
Style/FileName
Style/FirstParameterIndentation
Style/For
Style/FormatString
Style/GlobalVars
Style/GuardClause
Style/HashSyntax
Style/IfUnlessModifier
Style/IndentationConsistency
Style/IndentationWidth
Style/IndentHash
Style/LambdaCall
Style/Next
Style/NonNilCheck
Style/MethodDefParentheses
Style/MethodName
Style/MissingElse
Style/MultilineOperationIndentation
Style/NumericLiterals
Style/ParenthesesAroundCondition
Style/PercentLiteralDelimiters
Style/PercentQLiterals
Style/PredicateName
Style/RaiseArgs
Style/RedundantReturn
Style/RegexpLiteral
Style/Semicolon
Style/SignalException
Style/SingleLineBlockParams
Style/SingleLineMethods
Style/StringLiterals
Style/StringLiteralsInInterpolation
Style/SpaceAroundBlockParameters
Style/SpaceAroundEqualsInParameterDefault
Style/SpaceAroundOperators
Style/SpaceBeforeBlockBraces
Style/SpaceInsideBlockBraces
Style/SpaceInsideHashLiteralBraces
Style/SymbolProc
Style/TrailingBlankLines
Style/TrailingComma
Style/TrivialAccessors
Style/VariableName
Style/WhileUntilModifier
Style/WordArray
Metrics/AbcSize
Metrics/BlockNesting
Metrics/ClassLength
Metrics/CyclomaticComplexity
Metrics/LineLength
Metrics/MethodLength
Metrics/ParameterLists
Metrics/PerceivedComplexity
Lint/AssignmentInCondition
Lint/EndAlignment
Lint/DefEndAlignment
Rails/ActionFilter
Rails/Date
Rails/DefaultScope
Rails/FindBy
Rails/FindEach
Rails/HasAndBelongsToMany
Rails/Output
Rails/ReadWriteAttribute
Rails/ScopeArgs
Rails/TimeZone
Rails/Validation
