OverrideBothEqualsAndHashcode
DoubleCheckedLocking
BooleanInstantiation
BrokenNullCheck
BigIntegerInstantiation
AvoidUsingOctalValues
AvoidUsingHardCodedIP
CheckResultSet
AvoidMultipleUnaryOperators
CheckSkipResult
AvoidBranchingStatementAsLastInLoop
NPathComplexity
ExcessiveMethodLength
ExcessiveParameterList
ExcessiveClassLength
CyclomaticComplexity
StdCyclomaticComplexity
ModifiedCyclomaticComplexity
ExcessivePublicCount
TooManyFields
NcssMethodCount
NcssTypeCount
NcssConstructorCount
TooManyMethods
CommentRequired
CommentSize
CommentContent
NullAssignment
OnlyOneReturn
AssignmentInOperand
DontImportSun
SuspiciousOctalEscape
DataflowAnomalyAnalysis
OneDeclarationPerLine
AvoidLiteralsInIfCondition
CouplingBetweenObjects
ExcessiveImports
LooseCoupling
LoosePackageCoupling
LawOfDemeter
UseUtilityClass
SimplifyBooleanReturns
AvoidDeeplyNestedIfStmts
AvoidReassigningParameters
SwitchDensity
ConstructorCallsOverridableMethod
AccessorClassGeneration
CloseResource
ConfusingTernary
IdempotentOperations
ImmutableField
AssignmentToNonFinalStatic
CompareObjectsWithEquals
UnnecessaryLocalBeforeReturn
NonThreadSafeSingleton
UncommentedEmptyConstructor
UnsynchronizedStaticDateFormatter
PreserveStackTrace
UseCollectionIsEmpty
SingularField
TooFewBranchesForASwitchStatement
FieldDeclarationsShouldBeAtStartOfClass
GodClass
EmptyCatchBlock
AvoidCallingFinalize
DuplicateImports
DontImportJavaLang
UnusedImports
ImportFromSamePackage
TooManyStaticImports
UnnecessaryFullyQualifiedName
BeanMembersShouldSerialize
JUnitAssertionsShouldIncludeMessage
JUnitTestsShouldIncludeAssert
TestClassWithoutTestCases
JUnitTestContainsTooManyAsserts
ProperLogger
GuardDebugLogging
GuardLogStatement
MoreThanOneLogger
GuardLogStatementJavaUtil
JUnitUseExpected
LongVariable
VariableNamingConventions
MethodNamingConventions
ClassNamingConventions
AvoidDollarSigns
MethodWithSameNameAsEnclosingClass
SuspiciousHashcodeMethodName
AvoidFieldNameMatchingTypeName
AvoidFieldNameMatchingMethodName
BooleanGetMethodName
ShortClassName
LocalVariableCouldBeFinal
MethodArgumentCouldBeFinal
AvoidInstantiatingObjectsInLoops
UseStringBufferForStringAppends
UnnecessaryWrapperObjectCreation
RedundantFieldInitializer
PrematureDeclaration
AvoidCatchingThrowable
SignatureDeclareThrowsException
ExceptionAsFlowControl
AvoidDuplicateLiterals
StringInstantiation
StringToString
InefficientStringBuffering
UnnecessaryCaseChange
UseStringBufferLength
AppendCharacterWithChar
ConsecutiveAppendsShouldReuse
ConsecutiveLiteralAppends
UseIndexOfChar
InefficientEmptyStringCheck
InsufficientStringBufferDeclaration
UselessStringValueOf
MethodReturnsInternalArray
ArrayIsStoredDirectly
LooseCoupling
CloneMethodMustImplementCloneable
UnusedImports
SignatureDeclareThrowsException
UnnecessaryConversionTemporary
UnnecessaryReturn
UselessOverridingMethod
UselessOperationOnImmutable
UnusedPrivateField
UnusedLocalVariable
UnusedPrivateMethod
UnusedFormalParameter
UnusedModifier
