android.xml
android.xml/CallSuperFirst
android.xml/CallSuperLast
android.xml/DoNotHardCodeSDCard
basic.xml
basic.xml/JumbledIncrementer
basic.xml/ForLoopShouldBeWhileLoop
basic.xml/OverrideBothEqualsAndHashcode
basic.xml/DoubleCheckedLocking
basic.xml/ReturnFromFinallyBlock
basic.xml/UnconditionalIfStatement
basic.xml/BooleanInstantiation
basic.xml/CollapsibleIfStatements
basic.xml/ClassCastExceptionWithToArray
basic.xml/AvoidDecimalLiteralsInBigDecimalConstructor
basic.xml/MisplacedNullCheck
basic.xml/AvoidThreadGroup
basic.xml/BrokenNullCheck
basic.xml/BigIntegerInstantiation
basic.xml/AvoidUsingOctalValues
basic.xml/AvoidUsingHardCodedIP
basic.xml/CheckResultSet
basic.xml/AvoidMultipleUnaryOperators
basic.xml/ExtendsObject
basic.xml/CheckSkipResult
basic.xml/AvoidBranchingStatementAsLastInLoop
basic.xml/DontCallThreadRun
basic.xml/DontUseFloatTypeForLoopIndices
basic.xml/EmptyCatchBlock
basic.xml/EmptyIfStmt
basic.xml/EmptyWhileStmt
basic.xml/EmptyTryBlock
basic.xml/EmptyFinallyBlock
basic.xml/EmptySwitchStatements
basic.xml/EmptySynchronizedBlock
basic.xml/EmptyStatementNotInLoop
basic.xml/EmptyInitializer
basic.xml/EmptyStatementBlock
basic.xml/EmptyStaticInitializer
basic.xml/UnnecessaryConversionTemporary
basic.xml/UnnecessaryReturn
basic.xml/UnnecessaryFinalModifier
basic.xml/UselessOverridingMethod
basic.xml/UselessOperationOnImmutable
basic.xml/UnusedNullCheckInEquals
basic.xml/UselessParentheses
braces.xml
braces.xml/IfStmtsMustUseBraces
braces.xml/WhileLoopsMustUseBraces
braces.xml/IfElseStmtsMustUseBraces
braces.xml/ForLoopsMustUseBraces
clone.xml
clone.xml/ProperCloneImplementation
clone.xml/CloneThrowsCloneNotSupportedException
clone.xml/CloneMethodMustImplementCloneable
codesize.xml
codesize.xml/NPathComplexity
codesize.xml/ExcessiveMethodLength
codesize.xml/ExcessiveParameterList
codesize.xml/ExcessiveClassLength
codesize.xml/CyclomaticComplexity
codesize.xml/StdCyclomaticComplexity
codesize.xml/ModifiedCyclomaticComplexity
codesize.xml/ExcessivePublicCount
codesize.xml/TooManyFields
codesize.xml/NcssMethodCount
codesize.xml/NcssTypeCount
codesize.xml/NcssConstructorCount
codesize.xml/TooManyMethods
comments.xml
comments.xml/CommentRequired
comments.xml/CommentSize
comments.xml/CommentContent
controversial.xml
controversial.xml/UnnecessaryConstructor
controversial.xml/NullAssignment
controversial.xml/OnlyOneReturn
controversial.xml/AssignmentInOperand
controversial.xml/AtLeastOneConstructor
controversial.xml/DontImportSun
controversial.xml/SuspiciousOctalEscape
controversial.xml/CallSuperInConstructor
controversial.xml/UnnecessaryParentheses
controversial.xml/DefaultPackage
controversial.xml/BooleanInversion
controversial.xml/DataflowAnomalyAnalysis
controversial.xml/AvoidFinalLocalVariable
controversial.xml/AvoidUsingShortType
controversial.xml/AvoidUsingVolatile
controversial.xml/AvoidUsingNativeCode
controversial.xml/AvoidAccessibilityAlteration
controversial.xml/DoNotCallGarbageCollectionExplicitly
controversial.xml/OneDeclarationPerLine
controversial.xml/AvoidPrefixingMethodParameters
controversial.xml/AvoidLiteralsInIfCondition
