no_return_value
duplicate_formal
equal_as_assign
var_hides_arg
redeclared_var
anon_no_return_value
missing_semicolon
meaningless_block
comma_separated_stmts
unreachable_code
missing_break
missing_break_for_last_case
comparison_type_conv
inc_dec_within_stmt
useless_void
multiple_plus_minus
use_of_label
block_without_braces
leading_decimal_point
trailing_decimal_point
octal_number
nested_comment
misplaced_regex
ambiguous_newline
empty_statement
missing_option_explicit
partial_option_explicit
dup_option_explicit
useless_assign
ambiguous_nested_stmt
ambiguous_else_stmt
missing_default_case
duplicate_case_in_switch
default_not_at_end
legacy_cc_not_understood
jsl_cc_not_understood
useless_comparison
with_statement
trailing_comma_in_array
assign_to_function_call
parseint_missing_radix
output-format __FILE__(__LINE__)
context
lambda_assign_requires_semicolon
legacy_control_comments
jscript_function_extensions
always_use_option_explicit
define
pauseatend
process
